Model,hidden_dim,num_layers,lr,Val_RMSE,Val_MAE,channels,kernel_size,n_estimators,learning_rate,num_leaves
LSTM,32.0,1.0,0.001,192.82598210562807,136.5587615966797,,,,,
LSTM,64.0,2.0,0.001,189.36978128122766,135.23130798339844,,,,,
LSTM,64.0,2.0,0.0005,204.34599373672586,140.20643615722656,,,,,
TCN,,,0.001,301.33575024381025,207.4747314453125,"(32, 32, 32, 32, 32, 32, 32)",3.0,,,
TCN,,,0.001,231.6787747884989,157.1209716796875,"(64, 64, 64, 64, 64, 64, 64)",3.0,,,
TCN,,,0.001,338.3856435341192,221.17185974121094,"(32, 32, 32, 32, 32, 32)",5.0,,,
LightGBM,,,,161.64251777286944,104.89763126810485,,,100.0,0.05,31.0
LightGBM,,,,161.15578367457223,104.45686809716045,,,300.0,0.03,31.0
LightGBM,,,,160.65931648359143,104.50104240234188,,,300.0,0.03,63.0
